constellation,average_competence,average_relative_competence,average_accuracy,count,population,sample,options,iteration,total_iterations
consensus,0.7140721524332142,0.5711082286498214,0.967032967032967,91,999,3,3,1,100
dissensus,0.6053271608647625,0.40799074129714374,0.3333333333333333,46,999,3,3,1,100
majority,0.6928537375266747,0.539280606290012,0.8163265306122449,196,999,3,3,1,100
minority,0.6021411633047713,0.4032117449571569,0.1377551020408163,196,999,3,3,1,100
consensus,0.7259029116172158,0.5888543674258238,0.9795918367346939,98,999,3,3,2,100
dissensus,0.6189148554031068,0.4283722831046601,0.3333333333333333,38,999,3,3,2,100
majority,0.6883588297475388,0.5325382446213082,0.751269035532995,197,999,3,3,2,100
minority,0.589296486262585,0.3839447293938776,0.19796954314720813,197,999,3,3,2,100
consensus,0.7221550412053356,0.5832325618080033,0.9905660377358491,106,999,3,3,3,100
dissensus,0.6224249157927045,0.43363737368905675,0.3333333333333333,43,999,3,3,3,100
majority,0.6673008322887009,0.5009512484330513,0.7717391304347826,184,999,3,3,3,100
minority,0.58685511262561,0.3802826689384149,0.19021739130434784,184,999,3,3,3,100
consensus,0.7246465015192435,0.5869697522788653,0.9789473684210527,95,999,3,3,4,100
dissensus,0.5936103437984297,0.3904155156976445,0.3333333333333333,41,999,3,3,4,100
majority,0.6778964741894575,0.5168447112841863,0.751269035532995,197,999,3,3,4,100
minority,0.5683778487216814,0.3525667730825221,0.20812182741116753,197,999,3,3,4,100
consensus,0.712301594939066,0.5684523924085991,0.9489795918367347,98,999,3,3,5,100
dissensus,0.635123298685333,0.45268494802799947,0.3333333333333333,33,999,3,3,5,100
majority,0.7096560680843036,0.5644841021264554,0.806930693069307,202,999,3,3,5,100
minority,0.578425792194196,0.367638688291294,0.16336633663366337,202,999,3,3,5,100
consensus,0.7023563033714095,0.5535344550571142,0.9519230769230769,104,999,3,3,6,100
dissensus,0.6180202344311746,0.42703035164676195,0.3333333333333333,36,999,3,3,6,100
majority,0.6816837507318577,0.5225256260977865,0.772020725388601,193,999,3,3,6,100
minority,0.579102216181482,0.368653324272223,0.16062176165803108,193,999,3,3,6,100
consensus,0.7107100165393827,0.566065024809074,0.9805825242718447,103,999,3,3,7,100
dissensus,0.6192892654385004,0.42893389815775057,0.3333333333333333,40,999,3,3,7,100
majority,0.6768036859649185,0.5152055289473777,0.7421052631578947,190,999,3,3,7,100
