constellation,average_competence,average_relative_competence,average_accuracy,count,population,sample,options,iteration,total_iterations
consensus,0.7131174393819313,0.5696761590728969,0.967391304347826,92,999,3,3,1,1000
dissensus,0.6458460074465071,0.4687690111697608,0.3333333333333333,35,999,3,3,1,1000
majority,0.684668041339964,0.5270020620099458,0.8009708737864077,206,999,3,3,1,1000
minority,0.5853822407814521,0.37807336117217805,0.15048543689320387,206,999,3,3,1,1000
consensus,0.7236098980011646,0.585414847001747,0.9207920792079208,101,999,3,3,2,1000
dissensus,0.6045830714048329,0.4068746071072493,0.3333333333333333,44,999,3,3,2,1000
majority,0.6765823489152464,0.5148735233728695,0.75,188,999,3,3,2,1000
minority,0.5658301327630204,0.34874519914453056,0.18617021276595744,188,999,3,3,2,1000
consensus,0.728411565878088,0.5926173488171319,0.9791666666666666,96,999,3,3,3,1000
dissensus,0.6428191358973091,0.46422870384596354,0.3333333333333333,37,999,3,3,3,1000
majority,0.67979672251114,0.51969508376671,0.735,200,999,3,3,3,1000
minority,0.5820785447342011,0.37311781710130165,0.225,200,999,3,3,3,1000
consensus,0.717274059787147,0.5759110896807206,0.9560439560439561,91,999,3,3,4,1000
dissensus,0.5914388976986129,0.38715834654791925,0.3333333333333333,41,999,3,3,4,1000
majority,0.6823894087473088,0.5235841131209633,0.7412935323383084,201,999,3,3,4,1000
minority,0.6240208625089173,0.436031293763376,0.20398009950248755,201,999,3,3,4,1000
consensus,0.7294239834851884,0.5941359752277826,0.9705882352941176,102,999,3,3,5,1000
dissensus,0.5921650210455541,0.38824753156833114,0.3333333333333333,31,999,3,3,5,1000
majority,0.6872086737487311,0.5308130106230966,0.76,200,999,3,3,5,1000
minority,0.5896735421537111,0.3845103132305667,0.17,200,999,3,3,5,1000
consensus,0.7322061118285623,0.5983091677428435,0.9885057471264368,87,999,3,3,6,1000
dissensus,0.6098512966042907,0.4147769449064361,0.3333333333333333,42,999,3,3,6,1000
majority,0.6840853976596336,0.5261280964894505,0.7598039215686274,204,999,3,3,6,1000
minority,0.5843130956096514,0.37646964341447714,0.20588235294117646,204,999,3,3,6,1000
consensus,0.7343558509927244,0.6015337764890865,0.97,100,999,3,3,7,1000
dissensus,0.5952592501496403,0.3928888752244604,0.3333333333333333,39,999,3,3,7,1000
majority,0.6832683895297726,0.524902584294659,0.7319587628865979,194,999,3,3,7,1000
minority,0.5719390196663318,0.3579085294994977,0.1958762886597938,194,999,3,3,7,1000
consensus,0.7217288410168264,0.5825932615252396,0.945054945054945,91,999,3,3,8,1000
dissensus,0.6247043259707945,0.43705648895619176,0.3333333333333333,35,999,3,3,8,1000
majority,0.6856241756802705,0.5284362635204055,0.7584541062801933,207,999,3,3,8,1000
minority,0.5826630355893738,0.3739945533840607,0.19806763285024154,207,999,3,3,8,1000
consensus,0.7248667598801626,0.5873001398202439,0.9719626168224299,107,999,3,3,9,1000
dissensus,0.6111295974816537,0.4166943962224806,0.3333333333333333,33,999,3,3,9,1000
majority,0.6776608999751007,0.516491349962651,0.8031088082901554,193,999,3,3,9,1000
minority,0.5814298218765999,0.37214473281489985,0.17616580310880828,193,999,3,3,9,1000
consensus,0.7076226314515918,0.5614339471773877,0.9732142857142857,112,999,3,3,10,1000
dissensus,0.6206320489589603,0.4309480734384404,0.3333333333333333,26,999,3,3,10,1000
majority,0.6688974465605699,0.503346169840855,0.717948717948718,195,999,3,3,10,1000
