constellation,average_competence,average_relative_competence,average_accuracy,count,population,sample,options,iteration,total_iterations
consensus,0.7197060147339731,0.5795590221009596,0.9782608695652174,92,999,3,3,1,100
dissensus,0.653340437740738,0.480010656611107,0.3333333333333333,35,999,3,3,1,100
majority,0.6782056925777635,0.5173085388666453,0.7572815533980582,206,999,3,3,1,100
minority,0.604522300804257,0.40678345120638537,0.18446601941747573,206,999,3,3,1,100
consensus,0.7177195872675112,0.5765793809012669,0.9905660377358491,106,999,3,3,2,100
dissensus,0.601450033489722,0.40217505023458305,0.3333333333333333,27,999,3,3,2,100
majority,0.6792162936743504,0.5188244405115257,0.765,200,999,3,3,2,100
minority,0.5752580300788395,0.3628870451182593,0.175,200,999,3,3,2,100
consensus,0.7148076657082312,0.5722114985623468,0.946236559139785,93,999,3,3,3,100
dissensus,0.6149706850611457,0.4224560275917185,0.3333333333333333,37,999,3,3,3,100
majority,0.6941515098621057,0.5412272647931586,0.7980295566502463,203,999,3,3,3,100
minority,0.5785982223420307,0.36789733351304615,0.1625615763546798,203,999,3,3,3,100
consensus,0.7185182811595149,0.5777774217392724,0.9696969696969697,99,999,3,3,4,100
dissensus,0.6235540963733863,0.43533114456007943,0.3333333333333333,38,999,3,3,4,100
majority,0.6711681200853441,0.5067521801280161,0.7551020408163265,196,999,3,3,4,100
minority,0.5937344699331439,0.39060170489971585,0.17857142857142858,196,999,3,3,4,100
consensus,0.7213137120972469,0.5819705681458704,0.9789473684210527,95,999,3,3,5,100
dissensus,0.594221033985122,0.391331550977683,0.3333333333333333,38,999,3,3,5,100
majority,0.6863842291450905,0.5295763437176358,0.785,200,999,3,3,5,100
minority,0.5999619271815755,0.39994289077236317,0.195,200,999,3,3,5,100
consensus,0.7126557097775448,0.5689835646663172,0.94,100,999,3,3,6,100
dissensus,0.628000307026723,0.4420004605400845,0.3333333333333333,51,999,3,3,6,100
majority,0.692010830172283,0.5380162452584245,0.7637362637362637,182,999,3,3,6,100
minority,0.5957153736069567,0.39357306041043505,0.1978021978021978,182,999,3,3,6,100
consensus,0.71026152039142465,0.565392280587137,0.9565217391304348,92,999,3,3,7,100
dissensus,0.6433817547368604,0.46507263210529065,0.3333333333333333,34,999,3,3,7,100
majority,0.6842465165334389,0.5263697748001586,0.7584541062801933,207,999,3,3,7,100
minority,0.5985832965719827,0.3978749448579741,0.2222222222222222,207,999,3,3,7,100
consensus,0.70872990588459,0.5630948588268849,0.963963963963964,111,999,3,3,8,100
dissensus,0.6061750591504905,0.4092625887257358,0.3333333333333333,25,999,3,3,8,100
majority,0.6873657415457883,0.5310486123186825,0.7715736040609137,197,999,3,3,8,100
minority,0.5707467404909609,0.35612011073644134,0.19289340101522842,197,999,3,3,8,100
consensus,0.7162483791897516,0.5743725687846273,0.9690721649484536,97,999,3,3,9,100
dissensus,0.6217315835813578,0.4325973753720367,0.3333333333333333,40,999,3,3,9,100
majority,0.6838045832887134,0.5257068749330701,0.7397959183673469,196,999,3,3,9,100
minority,0.5962347522366881,0.39435212835503214,0.2193877551020408,196,999,3,3,9,100
consensus,0.7053143974748667,0.5579715962123001,0.981651376146789,109,999,3,3,10,100
dissensus,0.6157620204719662,0.42364303070794923,0.3333333333333333,29,999,3,3,10,100
majority,0.6850192892894499,0.527528933934175,0.7692307692307693,195,999,3,3,10,100
minority,0.57777150253025,0.3666572537953751,0.18461538461538463,195,999,3,3,10,100
consensus,0.7009419239059623,0.5514128858589434,0.9591836734693877,98,999,3,3,11,100
dissensus,0.6236711148327838,0.43550667224917566,0.3333333333333333,38,999,3,3,11,100
majority,0.6873726056405705,0.5310589084608556,0.7461928934010152,197,999,3,3,11,100
minority,0.6009126464235904,0.4013689696353856,0.2233502538071066,197,999,3,3,11,100
consensus,0.7076247456831816,0.5614371185247723,0.978494623655914,93,999,3,3,12,100
dissensus,0.6063642845172557,0.40954642677588354,0.3333333333333333,34,999,3,3,12,100
majority,0.6825602326578307,0.523840348986746,0.7572815533980582,206,999,3,3,12,100
minority,0.5902209570337521,0.38533143555062815,0.18446601941747573,206,999,3,3,12,100
consensus,0.7352596267170972,0.6028894400756458,0.9834710743801653,121,999,3,3,13,100
dissensus,0.6147630939373461,0.42214464090601916,0.3333333333333333,42,999,3,3,13,100
majority,0.680825385371424,0.521238078057136,0.8117647058823529,170,999,3,3,13,100
minority,0.6063187363393167,0.409478104508975,0.15294117647058825,170,999,3,3,13,100
consensus,0.7040272290794716,0.5560408436192074,0.9915254237288136,118,999,3,3,14,100
dissensus,0.6164609210326388,0.42469138154895825,0.3333333333333333,32,999,3,3,14,100
majority,0.6736465914014605,0.5104698871021907,0.7814207650273224,183,999,3,3,14,100
minority,0.5773325330291099,0.36599879954366493,0.17486338797814208,183,999,3,3,14,100
consensus,0.7072104749493083,0.5608157124239626,0.968421052631579,95,999,3,3,15,100
dissensus,0.6137521427425773,0.42062821411386586,0.3333333333333333,33,999,3,3,15,100
majority,0.6696370883886438,0.5044556325829656,0.7121951219512195,205,999,3,3,15,100
minority,0.5885296759104766,0.3827945138657148,0.21951219512195122,205,999,3,3,15,100
consensus,0.7037919294078834,0.5556878941118251,0.9603960396039604,101,999,3,3,16,100
dissensus,0.6014878523807663,0.40223177857114933,0.3333333333333333,32,999,3,3,16,100
majority,0.685217185188861,0.5278257777832914,0.765,200,999,3,3,16,100
minority,0.5882468694658018,0.3823703041987028,0.205,200,999,3,3,16,100
consensus,0.7289514126317983,0.5934271189476975,0.9278350515463918,97,999,3,3,17,100
dissensus,0.6210728857549839,0.4316093286324758,0.3333333333333333,40,999,3,3,17,100
majority,0.6693466504391118,0.5040199756586677,0.7755102040816326,196,999,3,3,17,100
minority,0.5994885101055942,0.3992327651583913,0.17346938775510204,196,999,3,3,17,100
consensus,0.7193535293619981,0.5790302940429972,0.9904761904761905,105,999,3,3,18,100
dissensus,0.6202802561973739,0.4304203842960609,0.3333333333333333,32,999,3,3,18,100
majority,0.6770183998761939,0.515527599814291,0.7755102040816326,196,999,3,3,18,100
minority,0.5703578928713592,0.3555368393070387,0.18877551020408162,196,999,3,3,18,100
consensus,0.7293673347407649,0.5940510021111473,0.9680851063829787,94,999,3,3,19,100
dissensus,0.6183582072249717,0.4275373108374576,0.3333333333333333,30,999,3,3,19,100
majority,0.6857130060342261,0.5285695090513393,0.7559808612440191,209,999,3,3,19,100
minority,0.5901006432383825,0.3851509648575737,0.19138755980861244,209,999,3,3,19,100
consensus,0.722240978993519,0.5833614684902786,0.9912280701754386,114,999,3,3,20,100
dissensus,0.6248770350622378,0.4373155525933567,0.3333333333333333,42,999,3,3,20,100
majority,0.6925605294161359,0.5388407941242038,0.7853107344632768,177,999,3,3,20,100
minority,0.5766022528597134,0.3649033792895702,0.1807909604519774,177,999,3,3,20,100
consensus,0.7083600091301804,0.5625400136952705,0.9339622641509434,106,999,3,3,21,100
dissensus,0.6133616465319202,0.4200424697978802,0.3333333333333333,36,999,3,3,21,100
majority,0.67207983401027,0.508119751015405,0.7853403141361257,191,999,3,3,21,100
minority,0.5990221460291345,0.3985332190437018,0.16753926701570682,191,999,3,3,21,100
consensus,0.7045821288830779,0.5568731933246168,0.9438202247191011,89,999,3,3,22,100
dissensus,0.5928843444733717,0.3893265167100574,0.3333333333333333,34,999,3,3,22,100
majority,0.6825946950878475,0.5238920426317714,0.7523809523809524,210,999,3,3,22,100
minority,0.5867506129304982,0.3801259193957473,0.22380952380952382,210,999,3,3,22,100
consensus,0.7391724909945865,0.6087587364918797,0.9821428571428571,112,999,3,3,23,100
dissensus,0.5918246853747884,0.38773702806218263,0.3333333333333333,27,999,3,3,23,100
majority,0.6816936705879151,0.5225405058818725,0.7989690721649485,194,999,3,3,23,100
