constellation,average_competence,average_relative_competence,average_accuracy,count,population,sample,options,iteration,total_iterations
consensus,0.723443237377473,0.5851648560662095,0.9791666666666666,96,999,3,3,1,1000
dissensus,0.6045049344281759,0.40675740164226376,0.3333333333333333,37,999,3,3,1,1000
majority,0.6907131130011598,0.5360696695017396,0.795,200,999,3,3,1,1000
minority,0.5934388738319588,0.3901583107479383,0.17,200,999,3,3,1,1000
consensus,0.7321463079054816,0.5982194618582225,0.9797979797979798,99,999,3,3,2,1000
dissensus,0.6008594995222262,0.40128924928333926,0.3333333333333333,40,999,3,3,2,1000
majority,0.6702623663296526,0.5053935494944789,0.7680412371134021,194,999,3,3,2,1000
minority,0.5923799583840399,0.38856993757605973,0.18556701030927836,194,999,3,3,2,1000
consensus,0.7099520580791854,0.5649280871187781,0.970873786407767,103,999,3,3,3,1000
dissensus,0.6276761338668663,0.4415142008002994,0.3333333333333333,34,999,3,3,3,1000
majority,0.6788669422278372,0.5183004133417557,0.7551020408163265,196,999,3,3,3,1000
minority,0.5948835208807711,0.3923252813211566,0.1683673469387755,196,999,3,3,3,1000
consensus,0.7174585463077948,0.5761878194616923,0.956140350877193,114,999,3,3,4,1000
dissensus,0.5860377536798116,0.37905663051971733,0.3333333333333333,33,999,3,3,4,1000
majority,0.6936208452294184,0.5404312678441275,0.7580645161290323,186,999,3,3,4,1000
minority,0.5727500300996313,0.35912504514944693,0.1827956989247312,186,999,3,3,4,1000
consensus,0.7134831966932593,0.570224795039889,0.9693877551020408,98,999,3,3,5,1000
dissensus,0.6171205448466694,0.4256808172700042,0.3333333333333333,47,999,3,3,5,1000
majority,0.6770569379457954,0.5155854069186929,0.7606382978723404,188,999,3,3,5,1000
minority,0.5744119642446055,0.36161794636690836,0.18617021276595744,188,999,3,3,5,1000
consensus,0.7354902229341894,0.6032353344012841,0.96875,96,999,3,3,6,1000
dissensus,0.6054271922084606,0.40814078831269096,0.3333333333333333,50,999,3,3,6,1000
majority,0.6768093494397095,0.5152140241595643,0.7647058823529411,187,999,3,3,6,1000
minority,0.6057688623107306,0.4086532934660959,0.17647058823529413,187,999,3,3,6,1000
consensus,0.7394826003020972,0.6092239004531458,0.9326923076923077,104,999,3,3,7,1000
dissensus,0.6038329193761249,0.4057493790641873,0.3333333333333333,39,999,3,3,7,1000
majority,0.6727227165825306,0.5090840748737959,0.7368421052631579,190,999,3,3,7,1000
minority,0.6127676490588081,0.4191514735882122,0.19473684210526315,190,999,3,3,7,1000
consensus,0.7203702186210342,0.5805553279315513,0.9629629629629629,108,999,3,3,8,1000
dissensus,0.5996471807616307,0.399470771142446,0.3333333333333333,34,999,3,3,8,1000
majority,0.6923648236030112,0.5385472354045168,0.7696335078534031,191,999,3,3,8,1000
minority,0.5872634633478382,0.38089519502175734,0.16753926701570682,191,999,3,3,8,1000
consensus,0.7322039766855972,0.598305965028396,0.9801980198019802,101,999,3,3,9,1000
dissensus,0.6236608643678254,0.4354912965517382,0.3333333333333333,34,999,3,3,9,1000
majority,0.6958896266833506,0.543834440025026,0.8434343434343434,198,999,3,3,9,1000
minority,0.5835896784789321,0.37538451771839815,0.12626262626262627,198,999,3,3,9,1000
consensus,0.705252355979955,0.5578785339699324,0.9908256880733946,109,999,3,3,10,1000
dissensus,0.5793414400799924,0.36901216011998866,0.3333333333333333,32,999,3,3,10,1000
majority,0.6821475593804078,0.5232213390706117,0.7447916666666666,192,999,3,3,10,1000
minority,0.5769463411157226,0.365419511673584,0.18229166666666666,192,999,3,3,10,1000
consensus,0.7242654472476251,0.5863981708714376,0.9622641509433962,106,999,3,3,11,1000
dissensus,0.6168010928409381,0.4252016392614072,0.3333333333333333,44,999,3,3,11,1000
majority,0.7009435642179007,0.551415346326851,0.8032786885245902,183,999,3,3,11,1000
minority,0.5803881140963559,0.37058217114453396,0.17486338797814208,183,999,3,3,11,1000
consensus,0.696724312580708,0.545086468871062,0.95,100,999,3,3,12,1000
dissensus,0.5888334205374122,0.38325013080611825,0.3333333333333333,37,999,3,3,12,1000
majority,0.6623329512076452,0.4934994268114679,0.75,196,999,3,3,12,1000
minority,0.5877809726679064,0.38167145900185967,0.18877551020408162,196,999,3,3,12,1000
consensus,0.7160266764235323,0.5740400146352985,0.9619047619047619,105,999,3,3,13,1000
dissensus,0.5999414565802742,0.39991218487041136,0.3333333333333333,31,999,3,3,13,1000
majority,0.6828575079918677,0.5242862619878016,0.7969543147208121,197,999,3,3,13,1000
minority,0.6089193465782238,0.4133790198673358,0.16751269035532995,197,999,3,3,13,1000
consensus,0.743715331296977,0.6155729969454654,0.9444444444444444,90,999,3,3,14,1000
dissensus,0.642505969438288,0.46375895415743196,0.3333333333333333,31,999,3,3,14,1000
majority,0.678151633028884,0.5172274495433261,0.8066037735849056,212,999,3,3,14,1000
minority,0.5639438880263365,0.34591583203950477,0.1509433962264151,212,999,3,3,14,1000
consensus,0.7238144541062194,0.585721681159329,0.979381443298969,97,999,3,3,15,1000
dissensus,0.6221026353130202,0.4331539529695304,0.3333333333333333,34,999,3,3,15,1000
majority,0.6779233928867416,0.5168850893301125,0.7623762376237624,202,999,3,3,15,1000
minority,0.6005159875942032,0.4007739813913047,0.1782178217821782,202,999,3,3,15,1000
consensus,0.713164154410338,0.569746231615507,0.9529411764705882,85,999,3,3,16,1000
dissensus,0.6250998648639736,0.43764979729596054,0.3333333333333333,39,999,3,3,16,1000
majority,0.6829500587614762,0.5244250881422142,0.8086124401913876,209,999,3,3,16,1000
minority,0.5858900431176705,0.37883506467650563,0.15789473684210525,209,999,3,3,16,1000
consensus,0.7108396842332576,0.5662595263498864,0.9818181818181818,110,999,3,3,17,1000
dissensus,0.615118421865879,0.42267763279881837,0.3333333333333333,37,999,3,3,17,1000
majority,0.6700839838814191,0.5051259758221287,0.7473118279569892,186,999,3,3,17,1000
minority,0.5991159656792746,0.39867394851891186,0.20967741935483872,186,999,3,3,17,1000
consensus,0.7097014360950643,0.5645521541425965,0.9902912621359223,103,999,3,3,18,1000
dissensus,0.6086549499122548,0.4129824248683822,0.3333333333333333,39,999,3,3,18,1000
majority,0.6766801041414405,0.5150201562121608,0.7068062827225131,191,999,3,3,18,1000
minority,0.5957373984761042,0.39360609771415633,0.24607329842931938,191,999,3,3,18,1000
consensus,0.7132775027805951,0.5699162541708926,0.9578947368421052,95,999,3,3,19,1000
dissensus,0.6084360223160022,0.4126540334740033,0.3333333333333333,40,999,3,3,19,1000
majority,0.6995611107651056,0.5493416661476586,0.7727272727272727,198,999,3,3,19,1000
minority,0.5896154302862232,0.3844231454293347,0.16161616161616163,198,999,3,3,19,1000
consensus,0.707764812198685,0.5616472182980276,0.9550561797752809,89,999,3,3,20,1000
dissensus,0.6068968058111723,0.41034520871675856,0.3333333333333333,38,999,3,3,20,1000
majority,0.6837112407582815,0.5255668611374222,0.7912621359223301,206,999,3,3,20,1000
minority,0.58281270330425194,0.37421905495637797,0.16990291262135923,206,999,3,3,20,1000
consensus,0.7078725451942987,0.5618088177914479,0.9439252336448598,107,999,3,3,21,1000
dissensus,0.6128180686762368,0.4192271030143552,0.3333333333333333,46,999,3,3,21,1000
majority,0.6835902455215411,0.5253853682823117,0.7444444444444445,180,999,3,3,21,1000
minority,0.5872312964043683,0.3808469446065525,0.18888888888888888,180,999,3,3,21,1000
consensus,0.7301624132211415,0.5952436198317124,0.9895833333333334,96,999,3,3,22,1000
dissensus,0.6248654274407912,0.43729814116118687,0.3333333333333333,27,999,3,3,22,1000
majority,0.6850756683534691,0.5276135025302037,0.7666666666666667,210,999,3,3,22,1000
minority,0.5829110589203617,0.37436658838054254,0.18571428571428572,210,999,3,3,22,1000
consensus,0.7172228003339596,0.5758342005009394,0.9809523809523809,105,999,3,3,23,1000
dissensus,0.604994912306817,0.40749236846022546,0.3333333333333333,32,999,3,3,23,1000
majority,0.6739651673611216,0.5109477510416824,0.7857142857142857,196,999,3,3,23,1000
minority,0.5806220819204285,0.3709331228806428,0.17346938775510204,196,999,3,3,23,1000
consensus,0.711694996097391,0.5675424941460865,0.9803921568627451,102,999,3,3,24,1000
dissensus,0.6369044506734807,0.455356676010221,0.3333333333333333,32,999,3,3,24,1000
majority,0.6797039301662707,0.5195558952494062,0.7487437185929648,199,999,3,3,24,1000
minority,0.5866499895111376,0.37997498426670634,0.21608040201005024,199,999,3,3,24,1000
consensus,0.711727051280053,0.5675905769200794,0.9775280898876404,89,999,3,3,25,1000
dissensus,0.5946596326394263,0.39198944895913956,0.3333333333333333,33,999,3,3,25,1000
majority,0.6824904407431941,0.5237356611147912,0.7914691943127962,211,999,3,3,25,1000
minority,0.582235955684718,0.373353933527077,0.17535545023696683,211,999,3,3,25,1000
consensus,0.7243918122362619,0.5865877183543928,0.9787234042553191,94,999,3,3,26,1000
dissensus,0.6120033227210557,0.4180049840815837,0.3333333333333333,29,999,3,3,26,1000
majority,0.6782498777334002,0.5173748166001003,0.7857142857142857,210,999,3,3,26,1000
minority,0.587303191514331,0.38095478727149645,0.1761904761904762,210,999,3,3,26,1000
consensus,0.7194221023780605,0.5791331535670907,0.9789473684210527,95,999,3,3,27,1000
dissensus,0.6026783368883678,0.40401750533255165,0.3333333333333333,45,999,3,3,27,1000
majority,0.6897055673101734,0.53455835096526,0.8290155440414507,193,999,3,3,27,1000
minority,0.5578171083790496,0.33672566256857445,0.14507772020725387,193,999,3,3,27,1000
consensus,0.7232284025337874,0.5848426038006812,0.9903846153846154,104,999,3,3,28,1000
dissensus,0.6207459754882565,0.4311189632323847,0.3333333333333333,36,999,3,3,28,1000
majority,0.6925837144646504,0.5388755716969756,0.7823834196891192,193,999,3,3,28,1000
minority,0.5971176347410586,0.395676452111588,0.18652849740932642,193,999,3,3,28,1000
consensus,0.7044274978958843,0.5566412468438265,0.9752066115702479,121,999,3,3,29,1000
dissensus,0.5854159006386965,0.37812385095804485,0.3333333333333333,28,999,3,3,29,1000
majority,0.684593233179075,0.5268898497686124,0.8206521739130435,184,999,3,3,29,1000
minority,0.5800313352357488,0.3700470028536233,0.16304347826086957,184,999,3,3,29,1000
consensus,0.7282969945557494,0.592445491833624,0.9905660377358491,106,999,3,3,30,1000
dissensus,0.5984332293097088,0.39764984396456315,0.3333333333333333,42,999,3,3,30,1000
majority,0.6777006044757327,0.5165509067135989,0.7567567567567568,185,999,3,3,30,1000
minority,0.5744865388189955,0.36172980822849315,0.2,185,999,3,3,30,1000
consensus,0.7042240530921184,0.5563360796381777,0.978494623655914,93,999,3,3,31,1000
dissensus,0.6336368981915538,0.45045534728733067,0.3333333333333333,36,999,3,3,31,1000
majority,0.6667108017958099,0.5000662026937148,0.7450980392156863,204,999,3,3,31,1000
minority,0.6028798139780407,0.40431972096706104,0.20098039215686275,204,999,3,3,31,1000
