constellation,average_competence,average_relative_competence,average_accuracy,count,population,sample,options,iteration,total_iterations
consensus,0.71825568552215735,0.5773835282832359,0.9595959595959596,99,999,3,3,1,1000
dissensus,0.5981295638540316,0.39719434578104745,0.3333333333333333,28,999,3,3,1,1000
majority,0.6733269600885616,0.5099904401328424,0.7233009708737864,206,999,3,3,1,1000
minority,0.5805083535412706,0.3707625303119059,0.21359223300970873,206,999,3,3,1,1000
consensus,0.6961070266906003,0.5441605400359005,0.9591836734693877,98,999,3,3,2,1000
dissensus,0.6088000262610107,0.41320003939151606,0.3333333333333333,31,999,3,3,2,1000
majority,0.6927514664906388,0.5391271997359581,0.7941176470588235,204,999,3,3,2,1000
minority,0.6095832650994066,0.4143748976491099,0.17647058823529413,204,999,3,3,2,1000
consensus,0.7043788441931647,0.5565682662897469,0.9705882352941176,102,999,3,3,3,1000
dissensus,0.6177962822479687,0.42669442337195296,0.3333333333333333,46,999,3,3,3,1000
majority,0.6673947631826138,0.5010921447739207,0.7189189189189189,185,999,3,3,3,1000
minority,0.596000457164068,0.394000685746102,0.2648648648648649,185,999,3,3,3,1000
consensus,0.7156818786859397,0.5735228180289095,0.9719626168224299,107,999,3,3,4,1000
dissensus,0.6013317288579567,0.4019975932869351,0.3333333333333333,28,999,3,3,4,1000
majority,0.6813849175391211,0.5220773763086817,0.7727272727272727,198,999,3,3,4,1000
minority,0.5874979916273269,0.3812469874409902,0.20707070707070707,198,999,3,3,4,1000
consensus,0.7174823512392543,0.5762235268588816,0.9587628865979382,97,999,3,3,5,1000
dissensus,0.6488615034262665,0.4732922551393997,0.3333333333333333,28,999,3,3,5,1000
majority,0.6771114284746522,0.5156671427119783,0.7788461538461539,208,999,3,3,5,1000
minority,0.5663388633648327,0.3495082950472492,0.18269230769230768,208,999,3,3,5,1000
consensus,0.6920474295302994,0.5380711442954492,0.978494623655914,93,999,3,3,6,1000
dissensus,0.6134724791173214,0.42020871867598214,0.3333333333333333,45,999,3,3,6,1000
majority,0.6654904534574598,0.4982356801861898,0.7230769230769231,195,999,3,3,6,1000
minority,0.5948829529003009,0.3923244293504514,0.22564102564102564,195,999,3,3,6,1000
consensus,0.7280222213984806,0.5920333320977209,0.9805825242718447,103,999,3,3,7,1000
dissensus,0.6152093265506361,0.4228139898259542,0.3333333333333333,32,999,3,3,7,1000
majority,0.6834582444711554,0.5251873667067332,0.7626262626262627,198,999,3,3,7,1000
minority,0.580168823807999,0.37025323571199836,0.20707070707070707,198,999,3,3,7,1000
consensus,0.6990829239637532,0.5486243859456297,0.9368421052631579,95,999,3,3,8,1000
dissensus,0.606779751254479,0.41016962688171854,0.3333333333333333,47,999,3,3,8,1000
majority,0.6717755081563583,0.5076632622345375,0.7172774869109948,191,999,3,3,8,1000
minority,0.5907019728934474,0.38605295934017103,0.2198952879581152,191,999,3,3,8,1000
consensus,0.7202725570743391,0.5804088356115087,0.9891304347826086,92,999,3,3,9,1000
